token,web_url,title,posted_time_text,location,mileage_text_raw,mileage_km,year_text,color,brand_model_text,gearbox,fuel_type,base_price_text_raw,base_price_toman,engine_condition,chassis_front_condition,chassis_rear_condition,body_condition,gearbox_condition,description,scraped_at
gaY-06or,https://divar.ir/v/gaY-06or,پژو ۴۰۵ انژکتور عروسک,۳ هفته پیش در تهران، وردآورد، خ برجعلی,tehran، vardavard,۱۹۲۰۰۰,192000,۱۳۸۱ - ۲۰۰۲,یشمی,پژو 405 GLX بنزینی,دنده‌ای,بنزین,"‏۵۰۵,۰۰۰,۰۰۰ تومان",505000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,"خودرو سالها خواب بوده و کارکرد واقعی میباشد..
۴ لکه رنگ دورش طبق کارشناسی
بسیار تمیز و سالم ...بدون مشابه 
بدون ذره ای پوسیدگی
بیمه ۶ ماه..معاینه فنی یکسال
فنی و سواری بسیار عالی .

آردی الان ۴۵۰ میگن این خودرو ۴۰۵ انژکتور هست.

داخل سالن و اتاق دیدنی .

معاوضه با گران تر هم دارم .........

عکسها گویای حقیقت.

شاسی های جلو پلمپ ..عقب خوردگی جزعی
باتشکر از بازدید کنندگان محترم و دیوار عزیز..

بازدید ..  شهرقدس.",2026-09-26T01:38:13.966908
ga2eZpPC,https://divar.ir/v/ga2eZpPC,آردی مدل 78 لوازمی,۶ ساعت پیش در تهران، خواجه نصیر طوسی، خ آمل,tehran، eshrat-abad,۲۷۰۰۰۰,270000,۱۳۷۸ - ۱۹۹۹,سبز,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۵۰۰,۰۰۰,۰۰۰ تومان",500000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,"ماشین مدل 1378 کم کار و بدون رنگ (خط و خش جزئی)
جوان پسند 
فنی کاملا سالم و بی صدا موتور مثل ساعت کار میکنه 
شاسی پلمپ بلبرینگ چرخ ها تازه سرویس شده 
لوازم: 
رینگ و لاستیک سایز ۱۴ جلو ۱۰۰ ،عقب ۸۵ درصد 
اگزوز HKS
هدرز و سنتر 
و رم ایر 
روکش صندلی طبی چرم
روکش فرمان چرم اصل 
آینه کاپریسی چراغ دار 
دودی ۱۵ درصد uv
چراغ های جلو و عقب مدرن اسپورت 
هدلایت دوحالته بسیار قوی 
پشه بند پیانویی 
لیپ سپر جلو سامورایی 
چراغ های داخل LED
کمک و فنر اسپورت لنزو (ماشین ارتفاع داره)",2026-09-26T01:38:23.962204
gafVFw6B,https://divar.ir/v/gafVFw6B,خریدفروش حواله خودرو,۲ ماه پیش در تهران، گیشا، خ شهید احمدی خلجی,tehran، gisha,۳۶۳۰۰۰,363000,۱۳۶۸ - ۱۹۸۹,آبی,پژو آر دی (RD) بنزینی,,بنزین,"‏۸۰۰,۰۰۰,۰۰۰ تومان",800000000,تعیین‌نشده,تعیین‌نشده,تعیین‌نشده,دوررنگ,,"به نام خداوند 


سلام",2026-09-26T01:38:36.071593
gakGyrbG,https://divar.ir/v/gakGyrbG,آردی اساقطی و انواع خودرو فرسوده,۲ هفته پیش در تهران، هاشم‌آباد، خ عابدی,tehran، hashem-abad,۲۵۸۱۷۳,258173,۱۳۸۱ - ۲۰۰۲,یشمی,پژو آر دی (RD) بنزینی,,بنزین,"‏۱۵۰,۰۰۰,۰۰۰ تومان",150000000,تعیین‌نشده,تعیین‌نشده,تعیین‌نشده,اوراقی,,"☑️اسقاط انواع سواری پیکان،پراید،آردی،روآ،آردی و...
✅انواع وانت پیکان،مزدا،نیسان
☑️نیسان ۳۸۰۰ کامیونت ون
✅انواع کشنده و اتوبوس مینی بوس
☑️تسویه حساب بالا آرین قیمت نقدی و آنی
✅فک پلاک ۲۰روزه توسط پلیس راهور
☑️امکان خرید حضوری توسط کارشناس شرکت
(تهران و حومه)
✅اراعه نامه اسقاط توسط شرکت به فروشنده",2026-09-26T01:39:19.183712
ga26F3Ax,https://divar.ir/v/ga26F3Ax,پژو اردی سالم آخر 85,۱۰ ساعت پیش در تهران، ستارخان، خ رحیمی اصل,tehran، sattarkhan,۱۸۰,180,۱۳۸۵ - ۲۰۰۶,سرمه‌ای,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۴۰۰,۰۰۰,۰۰۰ تومان",400000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,پژو اردی مدل اخر85 سرمه ای سالم عقب جلو سقف بدون تصادف فنی سواری عالی بیمه 11ماه معاینه دارد کم مصرف بی سر صدا می‌باشد سند دست اول کم کار 180 کیلومتر,2026-09-26T01:39:34.956935
ga22lcLm,https://divar.ir/v/ga22lcLm,آردی شاسی سالم زیر قیمت,۱۰ ساعت پیش در تهران، اقدسیه (شهرری)، بلوار غلامی,tehran، aghadasiye,۳۵۵۰۰۰,355000,۱۳۸۲ - ۲۰۰۳,یشمی,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۲۳۸,۰۰۰,۰۰۰ تومان",238000000,سالم,سالم و پلمپ,سالم و پلمپ,رنگ‌شدگی در ۳ ناحیه,سالم و پلمپ,"با سلام 
اتاق سالم و بدون صدا 
شاسی ها سالم 
فنی خوب و نرم 
دو برگ سند (از سال ۹۱ تا الان دست یک نفر)
معاینه یکسال کارت سوخت فعال 
 فروشنده واقعی و زیر قیمت فقط به خریدار محترم 
لطفاً نمایشگاهی تماس نگیرد 
با سپاس",2026-09-26T01:39:42.312697
gatSkiFT,https://divar.ir/v/gatSkiFT,پژو آردی مدل 83,هفته پیش در تهران، خلازیر,tehran، khalazir,۲۸۵۶۸۷,285687,۱۳۸۳ - ۲۰۰۴,طوسی,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۲۴۸,۰۰۰,۰۰۰ تومان",248000000,سالم,سالم و پلمپ,سالم و پلمپ,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,اردی مدل 83 انژکتور فرمون هیدرولیک شاستی عقب جلو پلمپ بدنه یه درب رنگه الباقی ماشین بی رنگ فنی فوق‌العاده سالم موتور تازه تعمیر گیربکس فوق‌العاده سالم بدون زوزه ضبط و باند داره بیمه یکسال کامل معاینه فنیم یکسال کامل بخاری سالم داخل کابین بدون سرو صدا رنگ طوسی باز سوالی بود در خدمتم قفل مرکزی سالم خیلی بهتر از پراید کف قیمت پول اسقاط گذاشتم تخفیف در حد شیرینی خودرو بدون هزارم تومان خرج 24ساعت با ضمانت تحویل میدم فنی ماشین و,2026-09-26T01:40:22.527084
ga2KU3yP,https://divar.ir/v/ga2KU3yP,خودرو اردی روا,۱۲ ساعت پیش در تهران، جوادیه تهرانپارس، میدان والفجر,tehran، javadiyeh-tehran-pars,۲۰۰۰۰۰,200000,۱۳۸۸ - ۲۰۰۹,نقره‌ای,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۴۰۰,۰۰۰,۰۰۰ تومان",400000000,سالم,سالم و پلمپ,سالم و پلمپ,رنگ‌شدگی در ۲ ناحیه,سالم و پلمپ,تنها نقص ماشین دو تیکه رنگ در در عقب و یه خورده افتاب سوختگی,2026-09-26T01:40:31.601370
gaAijYzz,https://divar.ir/v/gaAijYzz,اردی ۸۴,ماه پیش در تهران، اکباتان، میدان هگمتانه,tehran، ekbatan,۲۸۰۰۰۰,280000,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۳۵۰,۰۰۰,۰۰۰ تومان",350000000,سالم,سالم و پلمپ,سالم و پلمپ,خط و خش جزیی,سالم و پلمپ,"ماشین تمیز خانگی همه کاراش انجام شده 
گیربکس تعمیر شده 
روکش صندلی نو 
بدون روغن ریزی و روغن سوزی 
شاسی پلمپ بدون تصادف 
ماشین ریمپ شده شتاب عالی 
گاردون تابگیری شده 
صدا گیری کامل اتاق انجام شده اتاق کیپ 
لاستیک ها ۸۰درصد 
کفی ۳بعدی 
چراغ های جلو ماشین عوض شده چون زرد شده بودن نو شدن 
کمک ها‌ تعویض شده 
جلو بندی کامل تعویض شده 
دیسک و صفحه ترکیه ای 
فلایویل تعویض شده 
بلبرینگ ته میلنگ عوض شده 
سیم گاز 
سیم کلاچ 
‌با مشتری راه میام
پمپ هیدرولیک سرویس کامل شده 
با موتور معاوضه میشود
لطفا مقایسه کنید در خدمتم",2026-09-26T01:41:51.752105
ga12K2Co,https://divar.ir/v/ga12K2Co,پژو آردی هیدرولیک فنی سالم فروش فوری قیمت موتور,۲۳ ساعت پیش در تهران، زهتابی، خ جهاد,tehran، zehtabi,۴۰۳۰۰۰,403000,۱۳۸۴ - ۲۰۰۵,سایر,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۲۵۸,۰۰۰,۰۰۰ تومان",258000000,سالم,سالم و پلمپ,سالم و پلمپ,دوررنگ,سالم و پلمپ,"درود..... بخونید فروش نقدی 
موتور سالم 
ادوار برقی همه سالم 
وتمام لوازماش نو ودر6ماه گذشته 
تعویض شده......شمع سوزنی باطری و...نو
رادیات نووتمام لوازم های داخل موتور تعویض شده سیم کشی همگی تعویض شده..مدارک کامل 
بیمه 11ماه
معاینه فنی 11ماه
زیرپای ماشین نسبت به مدل عالی وپرشتاپ
صفحه کلاچ شتاب عالی و تعویض شده 
دف بدون کوچیک ترین زوزه..
شاسی عقب و جلو سالم تصادف نداشته 
شاسی ترک واز زیرخوردگی داره که تاثیری ندارد
داخل ماشین روکش کفی دو فرمون و....درحدخودش تمیز..
ظبط پنل ولشخور آی یو ایکس و باند کنوود
سپرشب عیدتعویض شده
بخاری سالم اما کولر باید گازشود لوازم هاش هست 
یکم خورده خرج داره که اونم من وقت نکردم و همون اول کار هرکسی خواست یه دستی لازمه 
درکل ماشین کار راه انداز و خوبیه 
و بنده دلال و نمایشگاه دار نیستم یاحق
بازدید=بازخرید=تعویض پلاک",2026-09-26T01:41:58.798117
ga1OFsgb,https://divar.ir/v/ga1OFsgb,پژو اردی ۸۵ توضیحات خوانده,دیروز در تهران، هروی، خ مکران جنوبی,tehran، heravi,۲۶۷۰۰۰,267000,۱۳۸۵ - ۲۰۰۶,یشمی,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۲۵۰,۰۰۰,۰۰۰ تومان",250000000,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,"موتور کامل تعمیر اساسی شده‌ صفر تا صد 
دیسک و صفحه نو دینام نو واشر سر سیلندر رینگ پیستون کوئل نو و …..عکس فاکتور بخشی از خرج
همه قطعاتش نو و خوب بسته شده حدود ۸۰ تومن خرجش شده با فاکتور یکم خورده کار ظاهری و فنی که پایین نوشتم وقتو جاشو ندارم
رنگ دو سه لکه داره دقیق نمیدونم کجاشه عقب پلمپ جلو یه شاسی جلو جوش داره
بیمه و‌لاستیک ندارد هیدرولیک نیازمند سرویس کولر نصبه نیازمند راه اندازی
بدلیل ورثه ایی بودن خواب بوده وگنه قبلشم روشن میشد ماشین خاکی و بلا استفاده هست
قیمت مقطوع برای تخفیف تماس نگیرین
هرچی هزینه داشت کم کردم تخفیفشم دادم از قبل",2026-09-26T01:42:06.526940
ga1akZ2S,https://divar.ir/v/ga1akZ2S,پژو آردی مدل ۸۳ انژکتور هیدرولیک,دیروز در تهران، امام حسین، خ اسماعیلی,tehran، emam-hossein,۲۳۲۰۰۰,232000,۱۳۸۳ - ۲۰۰۴,طوسی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۲۳۵,۰۰۰,۰۰۰ تومان",235000000,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,سالم و پلمپ,"پژو RDi مدل ۸۳ – انژکتور، فرمان هیدرولیک

فروش پژو RDi مدل ۸۳، انژکتور، فرمان هیدرولیک
بیمه و معاینه فنی تا خرداد سال آینده

وضعیت فنی:
موتور و سواری اوکی، همه چی جعبه
کولر فعال نیست
شاسی عقب سالم
شاسی جلو جوش داره (قبلاً همینطور خریداری شده)

قطعات تازه تعویض شده:
شمع و وایر تازه عوض شده
باتری تازه عوض شده
کارتل، پولس، روغن ترمز، واسکازین و... تازه انجام شده

بدنه و ظاهر:
دور تا دور ماشین جاهای زنگ‌زده رو با رنگ خودش لکه‌گیری کردم
بعضی جاها که نیاز به صافکاری داشته انجام شده
روش ضبط داره

قیمت: ۲۳۵ میلیون تومان

وضعیت ماشین همینه که گفتم، شفاف و صادقانه. برای کسی که دنبال ماشین کارراه‌انداز با قیمت مناسب باشه، گزینه خوبیه دیگه پول یه موتور هست

تهران
برای اطلاعات بیشتر پیام بدید یا تماس بگیرید.",2026-09-26T01:43:06.721748
ga1WkL0Y,https://divar.ir/v/ga1WkL0Y,پژو آردی مدل ۸۴,دیروز در تهران، مرزداران، بلوار خرم‌رودی,tehran، marzdaran,۲۶۰۰۰۰,260000,۱۳۸۴ - ۲۰۰۵,یشمی,پژو آر دی آی (RDi) بنزینی,دنده‌ای,بنزین,"‏۲۶۰,۰۰۰,۰۰۰ تومان",260000000,نیاز به تعمیر,سالم و پلمپ,سالم و پلمپ,رنگ‌شدگی در ۱ ناحیه,سالم و پلمپ,"سلام.
پژو آردی مدل ۸۴ رنگ یشمی هستش.
کارکردش حدود ۲۶۰/۰۰۰ تا هستش.
بیمه هم تا آخر سال داره یعنی ۶ ماه داره.
ماشینم دیروز بعلت اتصالی آتیش گرفت و اون عکسی که از موتور گرفتم و اون سفیدی که هستش بخاطر کپسول آتش‌نشانی هستش که روش زدیم طبق عکسا مشخصه اطراف موتور سیم کشی ها سوخته ولی موتور آسیبی ندیده واتاق و شاسی ماشین سالمه. طبق عکسا برگه کارشناسی هم داره و کاپوت هم طبق عکس یخورده سوختگی داره میخام ماشینو همینطوری بفروشم و قیمتی که گذاشتم با مشتری واقعی را میام و بصورت توافقی هستش.
ممنونم.",2026-09-26T01:43:17.941871
ga1Cx3nC,https://divar.ir/v/ga1Cx3nC,اردی مدل۸۳,دیروز در کرمان، خ هفده شهریور,,۲۴۰۰۰,24000,۱۳۸۳ - ۲۰۰۴,یشمی,پژو آر دی (RD) بنزینی,دنده‌ای,بنزین,"‏۵۵۰,۰۰۰,۰۰۰ تومان",550000000,سالم,سالم و پلمپ,سالم و پلمپ,سالم و بی‌خط و خش,سالم و پلمپ,بدون ضربه بدون رنگ زاپاس نخورده ۲۴تا کار کرده سندتک برگ درحدصفر,2026-09-26T01:44:13.721465
